Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
4,Supernatant,5397,T21,6,IFN+,202435407,2076088.897,107687.625,,288231.2656,2110017.675,1147147.047,439390.687,7853104.688,13443549.72,76914.8221,,149291.58,
4,Supernatant,2767,T21,6,IFN+,165355294.4,1625075.929,146088.6784,,153465.0508,1700313.615,1190202.318,513352.699,7344219.727,15451565.75,66435.6045,,113371.82,
4,Supernatant,4616,T21,6,IFN+,187632173.9,2631092.874,67406.4453,,192916.0508,1912282.485,1204573.476,497660.27,8315242.114,16175678.5,97531.719,,226951.9,
4,Supernatant,5659,D21,6,IFN-,196368275.7,1726823.863,74288.9062,,132869.8867,1756339.45,1458561.273,597297.557,8356972.922,12276705.99,67071.1,,264303.66,
4,Supernatant,2036,D21,6,IFN-,167080457,1864197.628,117227.7612,,154316.957,1707704.755,1026919.888,494424.108,7378022.484,14742423.09,69376.8904,,336666.6,
4,Supernatant,8447,D21,6,IFN-,163492028.8,1651974.524,32018.2324,,164580.1875,1502852.79,1024815.14,329999.455,7175934.195,14671223.81,42750.52,,151678.64,
4,Supernatant,5397,T21,6,IFN-,118888386.5,2708775.891,53584.125,,119632.4219,1615962.413,912890.9505,347264.21,6312496.16,16667702.66,60053.7086,,229599.26,
4,Supernatant,2767,T21,6,IFN-,162852645.3,1963892.361,77485.2266,,117481.168,1650230.035,1055245.752,477642.698,7894632.934,16849496.41,59521.86,,21156.23,
4,Supernatant,4616,T21,6,IFN-,157300519.6,1736827.497,150283.1406,,171558.8829,1860199.785,1222317.583,564781.16,6743391.945,12210961.06,31201.27,,214965.43,
4,Supernatant,5659,D21,24,IFN+,164559834,3618616.175,113269.8028,,589537.2579,2034879.425,1239318.551,468343.998,7928033.969,18721995.94,56469.4523,,225438.88,
4,Supernatant,2036,D21,24,IFN+,167843686.9,2129006.492,85247.625,,589285.3515,1831459.475,1471385.646,401805.399,8316592.406,9559191.281,46750.7777,,278833.49,
4,Supernatant,8447,D21,24,IFN+,177245418.1,2299803.621,96453.1875,,561596.3281,2310022.6,1280815.141,382254.871,7765836.805,13511249.72,53485.98,,238861.18,
